,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
Winner_RandomForestClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,BYU,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,North Carolina,New Mexico,Kansas,Tennessee,Houston,Marquette,Connecticut,New Mexico,Tennessee,Houston,Connecticut,Houston,Houston
StrongSeed_XGBClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Vermont,Connecticut,Drake,North Carolina,Nevada,Purdue,Tennessee,Houston,Marquette,San Diego St,Grand Canyon,Kansas,Houston,San Diego St,Tennessee,San Diego St
WeakSeed_XGBClassifier_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,San Diego St,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,New Mexico,Tennessee,Marquette,New Mexico,Houston,Houston
Winner_XGBClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Illinois,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,NC State,James Madison,San Diego St,Illinois,Grand Canyon,New Mexico,Kansas,Tennessee,Houston,Marquette,San Diego St,New Mexico,Tennessee,Houston,San Diego St,Houston,Houston
StrongSeed_VotingClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Vermont,Connecticut,Iowa St,North Carolina,Nevada,Purdue,Tennessee,Houston,Marquette,San Diego St,Grand Canyon,Kansas,Houston,San Diego St,Tennessee,San Diego St
WeakSeed_VotingClassifier_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,BYU,New Mexico,Tennessee,Marquette,New Mexico,Houston,Houston
Winner_VotingClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,BYU,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Tennessee,Houston,Marquette,San Diego St,New Mexico,Tennessee,Houston,San Diego St,Houston,Houston
StrongSeed_MLPClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Samford,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,North Carolina,Nevada,Purdue,Colorado St,Houston,Boise St,Auburn,Grand Canyon,Purdue,Houston,Auburn,Purdue,Auburn
WeakSeed_MLPClassifier_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,Kentucky,BYU,New Mexico,Colorado St,Kentucky,New Mexico,Houston,Houston
Winner_MLPClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Samford,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Colorado St,Creighton,McNeese St,Houston,Boise St,Kentucky,James Madison,Auburn,BYU,Grand Canyon,New Mexico,Purdue,Colorado St,Houston,Kentucky,Auburn,New Mexico,Purdue,Houston,Auburn,Houston,Auburn
StrongSeed_DecisionTreeClassifier_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Baylor,Col Charleston,Purdue,Tennessee,Creighton,Samford,Longwood,Marquette,Oakland,Duke,Northwestern,S Dakota St,North Carolina,Arizona,TCU,Tennessee,Longwood,Florida,Auburn,North Carolina,Gonzaga,James Madison,Auburn,Creighton,Arizona
WeakSeed_DecisionTreeClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Washington St,Duquesne,UAB,Mississippi St,Dayton,New Mexico,Grand Canyon,TCU,Virginia,Oregon,Gonzaga,Texas A&M,Florida,NC State,James Madison,Auburn,Duquesne,Grand Canyon,New Mexico,Gonzaga,Creighton,James Madison,NC State,S Dakota St,Arizona,Creighton,Florida,Arizona,James Madison,James Madison
Winner_DecisionTreeClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Auburn,UAB,Duquesne,Washington St,Northwestern,North Carolina,Arizona,Baylor,Col Charleston,Grand Canyon,New Mexico,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Samford,Gonzaga,Oregon,Virginia,TCU,Longwood,Marquette,Oakland,Duke,James Madison,NC State,Florida,Texas A&M,Northwestern,S Dakota St,Duquesne,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,TCU,Tennessee,Creighton,Gonzaga,Longwood,Florida,NC State,James Madison,Auburn,S Dakota St,North Carolina,Arizona,Gonzaga,Creighton,James Madison,Florida,Auburn,Arizona,Creighton,James Madison,Arizona,James Madison,James Madison
StrongSeed_GaussianNB_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Akron,Kansas,Longwood,WKU,Oakland,Vermont,Connecticut,Washington St,North Carolina,Dayton,Purdue,Colorado St,Texas A&M,WKU,Connecticut,North Carolina,Gonzaga,Vermont,Connecticut,Colorado St,Connecticut
WeakSeed_GaussianNB_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Michigan St,Dayton,New Mexico,St Mary's CA,Utah St,Colorado St,Oregon,Gonzaga,Texas A&M,Florida,NC State,James Madison,Yale,BYU,Col Charleston,New Mexico,Gonzaga,Akron,Vermont,NC State,Washington St,New Mexico,Colorado St,WKU,North Carolina,Vermont,Vermont
Winner_GaussianNB_tourney_avg,Connecticut,S Dakota St,Morehead St,Yale,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Dayton,Michigan St,Purdue,Tennessee,Akron,Kansas,Gonzaga,Oregon,Colorado St,Utah St,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Washington St,BYU,Yale,North Carolina,Dayton,New Mexico,Col Charleston,Purdue,Colorado St,Akron,Gonzaga,Texas A&M,WKU,NC State,Vermont,Connecticut,Washington St,North Carolina,New Mexico,Gonzaga,Colorado St,Vermont,WKU,Connecticut,North Carolina,Colorado St,Vermont,Connecticut,Vermont,Connecticut
StrongSeed_RandomForestClassifier_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Long Beach St,Colgate,Col Charleston,Purdue,Tennessee,Akron,Kansas,Longwood,WKU,Oakland,Duke,FL Atlantic,S Dakota St,North Carolina,Nevada,Purdue,Colorado St,Longwood,Colorado,Yale,North Carolina,Purdue,Duke,BYU,Colorado St,BYU
WeakSeed_RandomForestClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Michigan St,Nevada,New Mexico,St Mary's CA,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Yale,BYU,St Mary's CA,New Mexico,Kansas,Oregon,Duke,NC State,BYU,New Mexico,Colorado St,Colorado,North Carolina,Colorado,Colorado
Winner_RandomForestClassifier_tourney_avg,Connecticut,S Dakota St,Illinois,Yale,UAB,BYU,Washington St,FL Atlantic,North Carolina,Long Beach St,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,S Dakota St,BYU,Yale,North Carolina,Nevada,New Mexico,St Mary's CA,Purdue,Colorado St,Oregon,Kansas,Longwood,Colorado,NC State,Duke,Yale,BYU,North Carolina,New Mexico,Purdue,Colorado St,Duke,Colorado,BYU,North Carolina,Colorado St,Colorado,BYU,Colorado,BYU
StrongSeed_XGBClassifier_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Akron,Kansas,Longwood,WKU,Oakland,Duke,Connecticut,S Dakota St,North Carolina,Arizona,Purdue,Texas,Texas A&M,Florida,Connecticut,North Carolina,McNeese St,Duke,BYU,Oregon,BYU
WeakSeed_XGBClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Michigan St,Nevada,New Mexico,St Mary's CA,Utah St,Texas,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,Yale,BYU,St Mary's CA,New Mexico,McNeese St,Oregon,Duke,NC State,BYU,New Mexico,Oregon,Florida,New Mexico,Duke,Duke
Winner_XGBClassifier_tourney_avg,Connecticut,S Dakota St,Illinois,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Texas,Utah St,Longwood,WKU,Oakland,Duke,James Madison,NC State,Florida,Texas A&M,Connecticut,S Dakota St,BYU,Yale,North Carolina,Arizona,New Mexico,St Mary's CA,Purdue,Texas,Oregon,McNeese St,Texas A&M,Florida,NC State,Duke,Connecticut,BYU,North Carolina,New Mexico,McNeese St,Oregon,Duke,Florida,BYU,New Mexico,Oregon,Duke,BYU,Duke,BYU
StrongSeed_LogisticRegression_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Auburn,North Carolina,Long Beach St,Baylor,Alabama,Purdue,Tennessee,Creighton,Samford,Longwood,WKU,Oakland,Duke,FL Atlantic,Drake,North Carolina,Dayton,Purdue,Tennessee,Nebraska,Florida,UAB,North Carolina,Purdue,Duke,Illinois,Purdue,North Carolina
WeakSeed_LogisticRegression_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Drake,BYU,UAB,Michigan St,Dayton,New Mexico,Grand Canyon,TCU,Virginia,South Carolina,McNeese St,Nebraska,Florida,Texas Tech,James Madison,UAB,Illinois,Alabama,Baylor,Samford,Creighton,Duke,Oakland,Illinois,Dayton,Creighton,Florida,North Carolina,Duke,Purdue
Winner_LogisticRegression_tourney_avg,Connecticut,S Dakota St,Illinois,Auburn,UAB,BYU,Drake,FL Atlantic,North Carolina,Long Beach St,Baylor,Alabama,Grand Canyon,New Mexico,Dayton,Michigan St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Virginia,TCU,Longwood,WKU,Oakland,Duke,James Madison,Texas Tech,Florida,Nebraska,FL Atlantic,Drake,Illinois,UAB,North Carolina,Dayton,Baylor,Alabama,Purdue,Tennessee,Creighton,Samford,Nebraska,Florida,Oakland,Duke,UAB,Illinois,North Carolina,Dayton,Purdue,Creighton,Duke,Florida,Illinois,North Carolina,Purdue,Duke,North Carolina,Purdue,Purdue
StrongSeed_MLPClassifier_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Creighton,Kansas,Houston,WKU,Oakland,Vermont,Connecticut,Washington St,Michigan St,Arizona,Purdue,Virginia,Texas A&M,Florida,Connecticut,St Mary's CA,McNeese St,James Madison,Connecticut,Creighton,St Mary's CA
WeakSeed_MLPClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Michigan St,Nevada,New Mexico,St Mary's CA,TCU,Virginia,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,Yale,BYU,St Mary's CA,New Mexico,McNeese St,Creighton,James Madison,NC State,Washington St,New Mexico,Creighton,Florida,St Mary's CA,James Madison,Creighton
Winner_MLPClassifier_tourney_avg,Connecticut,S Dakota St,Morehead St,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,WKU,Oakland,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Washington St,BYU,Yale,Michigan St,Arizona,New Mexico,St Mary's CA,Purdue,Virginia,Creighton,McNeese St,Texas A&M,Florida,NC State,James Madison,Connecticut,Washington St,St Mary's CA,New Mexico,McNeese St,Creighton,James Madison,Florida,Connecticut,St Mary's CA,Creighton,James Madison,St Mary's CA,Creighton,Creighton
StrongSeed_VotingClassifier_tourney_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Creighton,Kansas,Longwood,WKU,Oakland,Duke,Connecticut,Washington St,North Carolina,Arizona,Purdue,Virginia,Texas A&M,Florida,Connecticut,North Carolina,Purdue,James Madison,Connecticut,Creighton,North Carolina
WeakSeed_VotingClassifier_tourney_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Michigan St,Nevada,New Mexico,St Mary's CA,TCU,Virginia,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,Yale,BYU,St Mary's CA,New Mexico,McNeese St,Creighton,James Madison,NC State,Washington St,New Mexico,Creighton,Florida,North Carolina,James Madison,Creighton
Winner_VotingClassifier_tourney_avg,Connecticut,S Dakota St,Morehead St,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Duke,James Madison,NC State,Florida,Texas A&M,Connecticut,Washington St,BYU,Yale,North Carolina,Arizona,New Mexico,St Mary's CA,Purdue,Virginia,Creighton,McNeese St,Texas A&M,Florida,NC State,James Madison,Connecticut,Washington St,North Carolina,New Mexico,Purdue,Creighton,James Madison,Florida,Connecticut,North Carolina,Creighton,James Madison,North Carolina,Creighton,Creighton
StrongSeed_GaussianNB_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Long Beach St,Colgate,Col Charleston,Purdue,Tennessee,Creighton,Kansas,Longwood,Marquette,Oakland,Duke,Connecticut,S Dakota St,North Carolina,Dayton,Utah St,Virginia,Longwood,Marquette,Yale,Col Charleston,Gonzaga,Longwood,Yale,Oregon,Col Charleston
WeakSeed_GaussianNB_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Michigan St,Dayton,New Mexico,St Mary's CA,Utah St,Virginia,Oregon,Gonzaga,Nebraska,Florida,NC State,James Madison,Yale,BYU,Col Charleston,New Mexico,Gonzaga,Oregon,James Madison,NC State,S Dakota St,New Mexico,Oregon,Marquette,Col Charleston,Longwood,Oregon
Winner_GaussianNB_tourney_avg_5,Connecticut,S Dakota St,Morehead St,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Long Beach St,Colgate,Col Charleston,St Mary's CA,New Mexico,Dayton,Michigan St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,Oregon,Virginia,Utah St,Longwood,Marquette,Oakland,Duke,James Madison,NC State,Florida,Nebraska,Connecticut,S Dakota St,BYU,Yale,North Carolina,Dayton,New Mexico,Col Charleston,Utah St,Virginia,Oregon,Gonzaga,Longwood,Marquette,NC State,James Madison,Yale,S Dakota St,Col Charleston,New Mexico,Gonzaga,Oregon,Longwood,Marquette,Yale,Col Charleston,Oregon,Longwood,Col Charleston,Oregon,Oregon
StrongSeed_DecisionTreeClassifier_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,Iowa St,Morehead St,Yale,Wagner,Arizona,Colgate,Col Charleston,Purdue,St Peter's,Akron,Kansas,Houston,Marquette,Oakland,Duke,FL Atlantic,Drake,Michigan St,Nevada,Purdue,Texas,Houston,Colorado,FL Atlantic,Michigan St,Purdue,Duke,FL Atlantic,Purdue,FL Atlantic
WeakSeed_DecisionTreeClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,Oregon,McNeese St,Texas A&M,Colorado,NC State,Wisconsin,Yale,Morehead St,Grand Canyon,Colgate,McNeese St,Oregon,Duke,Oakland,Morehead St,Nevada,Texas,Colorado,Michigan St,Duke,Duke
Winner_DecisionTreeClassifier_tourney_avg_5,Stetson,Iowa St,Morehead St,Yale,UAB,BYU,Drake,FL Atlantic,Wagner,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,St Peter's,Akron,Kansas,McNeese St,Oregon,Texas,Utah St,Houston,Marquette,Oakland,Duke,Wisconsin,NC State,Colorado,Texas A&M,FL Atlantic,Drake,Morehead St,Yale,Michigan St,Nevada,Colgate,Grand Canyon,Purdue,Texas,Oregon,McNeese St,Houston,Colorado,Oakland,Duke,FL Atlantic,Morehead St,Michigan St,Nevada,Purdue,Texas,Duke,Colorado,FL Atlantic,Michigan St,Purdue,Duke,FL Atlantic,Duke,FL Atlantic
